molecule;min_score;sum_score
7QR3;-3.395967742976663E12;-49191.84201177977
7QR3;-4.504133228216289E12;-48993.484571850364
7QR3;-9.966821961320089E11;-49189.86044243656
7QR3;-8.154563613521346E12;-48958.45243461828
7QR3;-1.8465542294305918E12;-48782.14257099173
7QR3;-1.614722752473125E12;-49188.28071354687
7QR3;-6.947096999735565E12;-49196.06592249821
7QR3;-2.887866813088413E12;-49473.045720969225
7QR3;-2.674211092580667E12;-49218.14064705562
7QR3;-5.089738241094559E12;-49166.60994821289
7QR3;-2.3553836206410747E12;-49441.1256946471
7QR3;-6.027041045348047E12;-49219.18685205742
7QR3;-1.3605392571731462E12;-49145.776220149026
7QR3;-3.028972935622195E12;-48973.43851683959
7QR3;-3.794313683643101E12;-49147.1294725308
7QR3;-3.324190464774356E12;-48783.95134858182
7QR3;-1.0006652766350436E13;-49004.307450468186
7QR3;-2.233955003557339E12;-49276.75624072726
7QR3;-6.235956140631692E12;-49151.25109653061
7QR3;-1.3929574800175754E12;-49166.724937864434
