molecule;min_score;sum_score
9J6Y;-2.5663644535906234E19;-5.7697694454308208E16
9J6Y;-2.3031722916894708E19;-5.364862246898375E15
9J6Y;-1.1863153125019087E19;-6.0431226247769201E18
9J6Y;-1.1863164268869784E19;-7.751822588226724E15
9J6Y;-2.425621983738936E19;-9.5394032343432154E17
9J6Y;-2.170327516202849E19;-2.6356742363421735E15
9J6Y;-2.4339571635204456E19;-6.9460106901915433E18
9J6Y;-2.1557621413110473E19;-5.5650799072908096E17
9J6Y;-1.2006806047666362E19;-3.0752495745587328E18
9J6Y;-1.8707879639867896E19;-1.78677342085942624E17
9J6Y;-1.5730972450913368E19;-3.158300042405116E16
9J6Y;-2.478582103399944E19;-5.441768936617926E15
9J6Y;-2.2803300187938935E19;-3.1777619886312464E16
9J6Y;-2.883101607349497E19;-1.36684937999240768E17
9J6Y;-1.6155936260363788E19;-5.6702387198310022E17
9J6Y;-3.0518400804606013E19;-3.6172154251408112E16
9J6Y;-1.8857701655350944E19;-6.8918688622527008E16
9J6Y;-1.1863164266165885E19;-3.4426743733069055E15
9J6Y;-1.1858493059378768E19;-9.753141767660146E15
9J6Y;-3.319546555540143E19;-1.3075213686152598E19
